ID;candidate_ID;companyName;jobTitle;department;location;startDate;endDate;isCurrent;description;durationMonths;industry
c1b2c3d4-e5f6-7890-abcd-ef1234567801;a1b2c3d4-e5f6-7890-abcd-ef1234567801;Tech Corp;Senior Full-Stack Developer;Engineering;San Francisco, CA;2019-03-01;;true;Lead development of enterprise web applications using React and Node.js. Mentor junior developers.;57;Technology
c1b2c3d4-e5f6-7890-abcd-ef1234567802;a1b2c3d4-e5f6-7890-abcd-ef1234567801;StartupXYZ;Software Developer;Product;San Jose, CA;2016-06-01;2019-02-28;false;Built scalable microservices architecture. Implemented CI/CD pipelines.;33;Technology
c1b2c3d4-e5f6-7890-abcd-ef1234567803;a1b2c3d4-e5f6-7890-abcd-ef1234567802;SAP Partner Inc;SAP Technical Consultant;Consulting;New York, NY;2018-09-01;;true;Lead S/4HANA implementations for Fortune 500 clients. BTP development.;63;Consulting
c1b2c3d4-e5f6-7890-abcd-ef1234567804;a1b2c3d4-e5f6-7890-abcd-ef1234567802;Accenture;SAP Associate;Technology;Chicago, IL;2016-07-01;2018-08-31;false;SAP ECC support and customization. ABAP development.;26;Consulting
c1b2c3d4-e5f6-7890-abcd-ef1234567805;a1b2c3d4-e5f6-7890-abcd-ef1234567803;Cloud Innovations;Principal Solutions Architect;Architecture;Seattle, WA;2017-01-01;;true;Design enterprise cloud architecture for AWS and Azure. Lead technical teams.;95;Technology
c1b2c3d4-e5f6-7890-abcd-ef1234567806;a1b2c3d4-e5f6-7890-abcd-ef1234567803;Amazon Web Services;Solutions Architect;Professional Services;Seattle, WA;2014-06-01;2016-12-31;false;Customer-facing cloud architecture consulting. AWS certifications trainer.;31;Technology
c1b2c3d4-e5f6-7890-abcd-ef1234567807;a1b2c3d4-e5f6-7890-abcd-ef1234567804;Digital Agency Berlin;Frontend Developer;Development;Berlin, Germany;2020-04-01;;true;React and SAPUI5 development. Component library creation.;56;Agency
c1b2c3d4-e5f6-7890-abcd-ef1234567808;a1b2c3d4-e5f6-7890-abcd-ef1234567804;Web Studio;Junior Developer;Development;Munich, Germany;2019-01-01;2020-03-31;false;Frontend development with Vue.js. Responsive web design.;15;Agency
c1b2c3d4-e5f6-7890-abcd-ef1234567809;a1b2c3d4-e5f6-7890-abcd-ef1234567805;Data Systems Ltd;Senior Data Engineer;Data Platform;London, UK;2018-02-01;;true;SAP HANA data modeling. Python ETL pipelines. Big data processing.;82;Finance
c1b2c3d4-e5f6-7890-abcd-ef1234567810;a1b2c3d4-e5f6-7890-abcd-ef1234567805;Analytics Corp;Data Analyst;BI Team;Manchester, UK;2015-09-01;2018-01-31;false;Business intelligence reporting. SQL development.;29;Finance
c1b2c3d4-e5f6-7890-abcd-ef1234567811;a1b2c3d4-e5f6-7890-abcd-ef1234567806;Enterprise Solutions;Senior Project Manager;PMO;Austin, TX;2016-05-01;;true;Lead agile transformation initiatives. Manage portfolio of $10M+ projects.;103;Consulting
c1b2c3d4-e5f6-7890-abcd-ef1234567812;a1b2c3d4-e5f6-7890-abcd-ef1234567806;IT Services Inc;Project Manager;Delivery;Dallas, TX;2013-08-01;2016-04-30;false;Managed software delivery projects. Waterfall to agile transition.;33;Technology
c1b2c3d4-e5f6-7890-abcd-ef1234567813;a1b2c3d4-e5f6-7890-abcd-ef1234567807;Software House;Backend Developer;Engineering;Chicago, IL;2019-07-01;;true;Java microservices development. REST API design.;65;Technology
c1b2c3d4-e5f6-7890-abcd-ef1234567814;a1b2c3d4-e5f6-7890-abcd-ef1234567807;Code Factory;Junior Developer;Development;Chicago, IL;2018-01-01;2019-06-30;false;Backend development with Python and Django.;18;Technology
c1b2c3d4-e5f6-7890-abcd-ef1234567815;a1b2c3d4-e5f6-7890-abcd-ef1234567808;Design Studio Madrid;UX Designer;Design;Madrid, Spain;2021-03-01;;true;SAP Fiori design patterns. User research and testing.;45;Consulting
c1b2c3d4-e5f6-7890-abcd-ef1234567816;a1b2c3d4-e5f6-7890-abcd-ef1234567808;Creative Agency;Junior Designer;Creative;Barcelona, Spain;2020-01-01;2021-02-28;false;UI design for mobile applications. Brand identity.;14;Agency
c1b2c3d4-e5f6-7890-abcd-ef1234567817;a1b2c3d4-e5f6-7890-abcd-ef1234567809;DevOps Solutions;DevOps Engineer;Platform;Boston, MA;2019-11-01;;true;Kubernetes cluster management. CI/CD pipeline automation.;61;Technology
c1b2c3d4-e5f6-7890-abcd-ef1234567818;a1b2c3d4-e5f6-7890-abcd-ef1234567809;Cloud Services Inc;Systems Engineer;Infrastructure;Boston, MA;2017-06-01;2019-10-31;false;Linux administration. Docker containerization.;29;Technology
c1b2c3d4-e5f6-7890-abcd-ef1234567819;a1b2c3d4-e5f6-7890-abcd-ef1234567810;HR Tech Corp;Business Analyst;Product;Los Angeles, CA;2020-08-01;;true;SAP SuccessFactors implementation. Requirements analysis.;52;HR Technology
c1b2c3d4-e5f6-7890-abcd-ef1234567820;a1b2c3d4-e5f6-7890-abcd-ef1234567810;Consulting Group;Associate Consultant;HCM;San Diego, CA;2019-01-01;2020-07-31;false;HR process optimization. System configuration.;19;Consulting
